Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Latency(usec), Bandwidth(MBps)
HTTP Request,10492853,0,0,0,1,1,0,3,0.00%,13453.5,814.6,0.25, 30.804, 1416.988
HTTP Request,10470874,0,0,0,1,1,0,205,0.00%,13425.3,812.9,0.26,30.545,1412.673
HTTP Request,10355308,0,0,0,1,1,0,206,0.00%,13277.2,803.9,0.26, 30.673, 1413.043
HTTP Request,10332484,0,0,0,1,1,0,207,0.00%,13248.0,802.1,0.28, 30.933, 1415.532
HTTP Request,10315395,0,0,0,1,1,0,18,0.00%,13226.0,800.8,0.25, 30.687, 1411.630
HTTP Request,7777024,0,0,0,1,1,0,10,0.00%,9971.4,603.7,0.29, 41.498, 1410.845
HTTP Request,7751811,0,0,0,1,1,0,206,0.00%,9939.1,601.8,0.30, 40.432, 1417.334
HTTP Request,7830224,0,0,0,1,1,0,16,0.00%,10039.6,607.9,0.29, 40.929, 1622.810
HTTP Request,10229503,0,0,0,1,1,0,16,0.00%,13115.9,794.1,0.25, 30.814, 1568.979
HTTP Request,10140461,0,0,0,1,1,0,207,0.00%,13001.8,787.2,0.28, 30.699, 1416.287
HTTP Request,10096291,0,0,0,1,1,0,208,0.00%,12945.1,783.8,0.27, 31.282, 1416.951
