Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev., Artifacts
HTTP Request,1630866,0,0,1,1,3,0,305,0.00%,2091.1,202.1,0.71,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773040"
HTTP Request,1695624,0,0,1,1,3,0,35,0.00%,2174.2,210.1,0.66,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773049"
HTTP Request,1678728,0,0,1,1,3,0,1023,0.00%,2152.6,208.0,1.03,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773050"
HTTP Request,1680422,0,0,1,1,3,0,377,0.00%,2154.7,208.2,0.74,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773051"
HTTP Request,1751396,0,0,1,1,3,0,116,0.00%,2245.7,217.0,0.66,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773052"
HTTP Request,1736331,0,0,1,1,3,0,94,0.00%,2226.4,215.1,0.66,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773053"
HTTP Request,1719288,0,0,1,1,3,0,209,0.00%,2204.6,213.0,0.68,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773054"
HTTP Request,1299058,0,0,1,2,3,0,222,0.00%,1665.7,161.0,0.75,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773055"
HTTP Request,1227284,0,1,1,2,3,0,1008,0.00%,1573.7,152.1,1.19,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773056"
HTTP Request,1251884,0,1,1,2,3,0,290,0.00%,1605.2,155.1,0.76,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773041"
HTTP Request,1213316,0,1,1,2,3,0,177,0.00%,1557.1,150.5,0.74,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773042"
HTTP Request,1237722,0,1,1,2,3,0,41,0.00%,1587.0,153.4,0.73,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773043"
HTTP Request,1176324,0,1,1,2,3,0,36,0.00%,1508.3,145.7,0.75,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773044"
HTTP Request,1191391,0,1,1,2,3,0,19,0.00%,1527.6,147.6,0.76,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773045"
HTTP Request,1269516,0,1,1,2,3,0,60,0.00%,1627.8,157.3,0.73,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773046"
HTTP Request,1634910,0,0,1,1,3,0,302,0.00%,2096.4,202.6,0.76,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773047"
HTTP Request,1618081,0,0,1,1,3,0,352,0.00%,2074.8,200.5,0.73,"https://github.com/xlight05/ballerina-performance-cloud/suites/4390127138/artifacts/115773048"
