Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,4032,193,193,196,199,205,189,346,0.00%,5.2,.5,3.83
HTTP Request,4009,194,193,200,203,211,188,355,0.00%,5.1,.5,5.23
HTTP Request,4008,194,193,199,202,208,189,323,0.00%,5.1,.5,4.44
HTTP Request,3987,195,194,201,203,209,189,347,0.00%,5.1,.5,4.80
HTTP Request,3973,196,194,204,209,223,188,336,0.00%,5.1,.5,7.23
HTTP Request,3748,207,207,221,226,237,189,390,0.00%,4.8,.5,11.10
HTTP Request,3846,202,194,222,265,287,189,336,0.00%,4.9,.5,21.87
HTTP Request,3977,195,194,203,207,216,189,355,0.00%,5.1,.5,6.30
HTTP Request,3923,198,194,212,229,250,188,350,0.00%,5.0,.5,12.53
HTTP Request,3995,195,194,201,204,212,189,342,0.00%,5.1,.5,5.11
