Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,1628286,0,0,1,1,3,0,88,0.00%,2087.9,201.8,0.69
HTTP Request,1598046,0,0,1,1,3,0,1026,0.00%,2049.1,198.0,1.36
HTTP Request,1607773,0,0,1,1,3,0,135,0.00%,2061.6,199.2,0.71
HTTP Request,1543851,0,0,1,1,3,0,85,0.00%,1979.6,191.3,0.71
HTTP Request,1601933,0,0,1,1,3,0,121,0.00%,2054.0,198.5,0.71
HTTP Request,1562507,0,0,1,1,3,0,1012,0.00%,2003.5,193.6,1.08
HTTP Request,1630062,0,0,1,1,3,0,36,0.00%,2090.2,202.0,0.69
HTTP Request,1596883,0,0,1,1,3,0,37,0.00%,2047.6,197.9,0.70
