Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,865049,0,1,1,1,3,0,209,0.00%,1109.2,107.2,1.04
HTTP Request,1092973,0,1,1,1,2,0,1019,0.00%,1401.5,135.4,1.49
HTTP Request,1322172,0,1,1,1,2,0,18,0.00%,1695.3,163.8,0.53
HTTP Request,1020412,0,1,1,1,3,0,211,0.00%,1308.4,126.4,1.26
HTTP Request,887133,0,1,1,1,3,0,209,0.00%,1137.5,109.9,1.15
HTTP Request,915081,0,1,1,1,3,0,209,0.00%,1173.4,113.4,1.00
HTTP Request,851477,0,1,1,1,3,0,210,0.00%,1091.8,105.5,0.92
HTTP Request,905381,0,1,1,1,3,0,210,0.00%,1160.9,112.2,1.18
HTTP Request,1499435,0,0,1,1,2,0,209,0.00%,1922.6,185.8,0.61
HTTP Request,1524455,0,0,1,1,2,0,207,0.00%,1954.7,188.9,0.57
HTTP Request,1501698,0,0,1,1,2,0,208,0.00%,1925.5,186.1,0.63
HTTP Request,920962,0,1,1,1,3,0,209,0.00%,1180.9,114.1,0.84
HTTP Request,865556,0,1,1,1,3,0,1023,0.00%,1109.8,107.2,1.67
HTTP Request,881978,0,1,1,1,3,0,211,0.00%,1130.9,109.3,1.40
HTTP Request,905798,0,1,1,1,3,0,1020,0.00%,1161.4,112.2,1.50
