Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,4049,192,192,195,196,201,188,343,0.00%,5.2,.5,3.38
HTTP Request,4043,192,192,195,197,201,188,340,0.00%,5.2,.5,3.61
HTTP Request,4029,193,193,196,197,202,188,336,0.00%,5.2,.5,3.40
HTTP Request,4027,193,193,196,198,201,188,341,0.00%,5.2,.5,3.53
HTTP Request,4028,193,193,196,197,201,188,315,0.00%,5.2,.5,3.05
HTTP Request,4026,193,193,196,197,201,189,369,0.00%,5.2,.5,3.76
HTTP Request,4029,193,193,196,197,202,189,319,0.00%,5.2,.5,3.32
HTTP Request,4030,193,193,196,197,202,188,340,0.00%,5.2,.5,3.39
HTTP Request,4026,193,193,196,198,202,189,328,0.00%,5.2,.5,3.25
HTTP Request,4029,193,193,196,197,202,188,338,0.00%,5.2,.5,3.49
HTTP Request,4028,193,193,196,197,201,189,340,0.00%,5.2,.5,3.38
HTTP Request,4027,193,193,196,197,201,189,341,0.00%,5.2,.5,3.38
