Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,4037,193,193,195,197,200,188,395,0.00%,5.2,.5,4.53
HTTP Request,4031,193,193,195,197,201,188,334,0.00%,5.2,.5,3.18
HTTP Request,4028,193,193,196,197,201,189,336,0.00%,5.2,.5,3.16
HTTP Request,4038,193,193,195,197,201,188,316,0.00%,5.2,.5,3.15
HTTP Request,4043,192,192,195,197,201,189,339,0.00%,5.2,.5,3.33
HTTP Request,4042,192,192,195,197,200,188,345,0.00%,5.2,.5,3.46
HTTP Request,4049,192,192,194,196,201,189,341,0.00%,5.2,.5,3.22
HTTP Request,4047,192,192,195,197,200,188,338,0.00%,5.2,.5,3.27
HTTP Request,4037,193,193,195,197,201,189,335,0.00%,5.2,.5,3.67
HTTP Request,4031,193,193,195,197,202,189,345,0.00%,5.2,.5,3.57
