Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Payload,Users,AVG-CPU
HTTP Request,18760521,0,1,1,1,2,0,549,0.00%,17372.5,1678.7,0.93,50,10,915
HTTP Request,8208326,1,1,2,2,3,1,7306,0.00%,7601.2,734.5,3.28,50,10,392
HTTP Request,16071309,0,1,1,1,2,0,88,0.00%,14882.4,1438.1,0.58,50,10,693
HTTP Request,16000284,0,1,1,1,2,0,543,0.00%,14816.5,1431.7,0.81,50,10,702
