Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Latency(usec), Bandwidth(MBps)
HTTP Request,7926230,0,0,0,1,1,0,9,0.00%,10162.7,615.3,0.29,39.617,1596.660
HTTP Request,8001354,0,0,0,1,1,0,10,0.00%,10259.0,621.1,0.29, 39.446, 1416.007
HTTP Request,8030316,0,0,0,1,1,0,204,0.00%,10296.1,623.4,0.30, 40.907, 1411.532
HTTP Request,7975185,0,0,0,1,1,0,69,0.00%,10225.5,619.1,0.29,39.302, 1417.163
HTTP Request,8030851,0,0,0,1,1,0,205,0.00%,10296.8,623.4,0.30, 39.430, 1582.044
HTTP Request,7857909,0,0,0,1,1,0,6,0.00%,10075.1,610.0,0.29, 40.647, 1600.923
HTTP Request,7998979,0,0,0,1,1,0,38,0.00%,10256.0,621.0,0.29, 39.454, 1412.577
HTTP Request,7886778,0,0,0,1,1,0,205,0.00%,10112.1,612.3,0.30, 40.501 , 1420.182
HTTP Request,7957483,0,0,0,1,1,0,207,0.00%,10202.8,617.7,0.30, 40.206, 1416.765
HTTP Request,7991222,0,0,0,1,1,0,206,0.00%,10246.1,620.4,0.30, 40.661, 1419.963
HTTP Request,10413147,0,0,0,1,1,0,6,0.00%,13351.3,808.4,0.25, 30.911, 1420.138
HTTP Request,10372365,0,0,0,1,1,0,206,0.00%,13299.1,805.2,0.26, 30.021, 1418.476
HTTP Request,10454930,0,0,0,1,1,0,209,0.00%,13404.9,811.6,0.26, 30.271, 1415.907
HTTP Request,7983652,0,0,0,1,1,0,205,0.00%,10236.4,619.8,0.30, 41.207, 1560.041
