Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,828616,0,1,1,1,2,0,689,0.00%,1062.5,102.7,0.89
HTTP Request,602918,1,1,2,2,2,1,209,0.00%,773.1,74.7,0.72
HTTP Request,828130,0,1,1,1,2,0,208,0.00%,1061.8,102.6,0.40
HTTP Request,825045,0,1,1,1,2,0,207,0.00%,1057.9,102.2,0.40
HTTP Request,604872,1,1,2,2,2,1,209,0.00%,775.6,74.9,0.66
HTTP Request,828129,0,1,1,1,2,0,15,0.00%,1061.8,102.6,0.33
HTTP Request,603214,1,1,2,2,2,1,210,0.00%,773.4,74.7,0.76
HTTP Request,600881,1,1,2,2,2,1,209,0.00%,770.5,74.5,0.67
HTTP Request,825384,0,1,1,1,2,0,208,0.00%,1058.3,102.3,0.40
HTTP Request,824188,0,1,1,1,2,0,209,0.00%,1056.8,102.1,0.40
HTTP Request,603227,1,1,2,2,2,1,210,0.00%,773.4,74.7,0.71
HTTP Request,602153,1,1,2,2,2,1,208,0.00%,772.1,74.6,0.71
HTTP Request,825275,0,1,1,1,2,0,208,0.00%,1058.2,102.3,0.68
HTTP Request,822515,0,1,1,1,2,0,209,0.00%,1054.6,101.9,0.56
HTTP Request,830353,0,1,1,1,2,0,205,0.00%,1064.7,102.9,0.40
