Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,859585,0,1,1,1,3,0,209,0.00%,1102.2,106.5,0.99
HTTP Request,846870,0,1,1,1,3,0,209,0.00%,1085.9,104.9,1.09
HTTP Request,1280550,0,1,1,1,2,0,208,0.00%,1642.0,158.7,0.70
HTTP Request,849208,0,1,1,1,3,0,1014,0.00%,1088.9,105.2,1.82
HTTP Request,1270466,0,1,1,1,2,0,207,0.00%,1629.0,157.4,0.73
HTTP Request,845857,0,1,1,1,3,0,1008,0.00%,1084.6,104.8,1.49
HTTP Request,865770,0,1,1,1,3,0,1020,0.00%,1110.2,107.3,1.40
HTTP Request,1216016,0,1,1,1,2,0,417,0.00%,1559.2,150.7,0.90
HTTP Request,859439,0,1,1,1,3,0,209,0.00%,1102.0,106.5,1.22
HTTP Request,1214544,0,1,1,1,2,0,209,0.00%,1557.3,150.5,0.81
HTTP Request,1208467,0,1,1,1,2,0,1023,0.00%,1549.6,149.7,1.38
HTTP Request,1196550,0,1,1,1,2,0,209,0.00%,1534.3,148.3,0.99
HTTP Request,1195143,0,1,1,1,2,0,209,0.00%,1532.5,148.1,1.04
HTTP Request,841513,0,1,1,1,3,0,1025,0.00%,1079.1,104.3,2.11
HTTP Request,1214734,0,1,1,1,2,0,1022,0.00%,1557.6,150.5,1.31
