Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,2925373,0,0,1,1,2,0,206,0.00%,3750.9,362.5,0.59
HTTP Request,3336340,0,0,1,1,2,0,104,0.00%,4277.8,413.4,0.50
HTTP Request,3232203,0,0,1,1,2,0,207,0.00%,4144.2,400.5,0.53
HTTP Request,3763611,0,0,1,1,1,0,207,0.00%,4825.6,466.3,0.49
HTTP Request,3284804,0,0,1,1,2,0,204,0.00%,4211.7,407.0,0.50
HTTP Request,3394805,0,0,1,1,2,0,208,0.00%,4352.8,420.6,0.49
HTTP Request,3302189,0,0,1,1,2,0,208,0.00%,4233.9,409.1,0.50
HTTP Request,3354745,0,0,1,1,2,0,112,0.00%,4301.4,415.6,0.49
HTTP Request,3133609,0,0,1,1,2,0,232,0.00%,4017.8,388.2,0.65
HTTP Request,3467040,0,0,1,1,2,0,208,0.00%,4445.3,429.6,0.53
HTTP Request,3097220,0,0,1,1,2,0,208,0.00%,3971.2,383.7,0.55
HTTP Request,3277867,0,0,1,1,2,0,109,0.00%,4202.8,406.1,0.49
HTTP Request,2882059,0,0,1,1,2,0,206,0.00%,3695.3,357.1,0.59
HTTP Request,3215340,0,0,1,1,2,0,25,0.00%,4122.6,398.4,0.51
HTTP Request,3245399,0,0,1,1,2,0,1011,0.00%,4161.2,402.1,0.75
