Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,716522,1,1,1,2,3,0,1021,0.00%,918.7,88.8,3.19
HTTP Request,723586,1,1,1,2,3,0,1024,0.00%,927.8,89.7,2.73
HTTP Request,716522,1,1,1,2,3,0,1021,0.00%,918.7,88.8,3.19
HTTP Request,716131,1,1,1,2,3,0,904,0.00%,918.2,88.7,2.09
HTTP Request,883953,0,1,1,1,2,0,1026,0.00%,1133.5,109.5,2.63
HTTP Request,920002,0,1,1,1,2,0,1024,0.00%,1179.7,114.0,1.79
HTTP Request,711437,1,1,1,2,3,0,1021,0.00%,912.2,88.1,3.38
HTTP Request,704801,1,1,1,2,3,0,1021,0.00%,903.7,87.3,3.03
HTTP Request,744167,1,1,1,1,3,0,705,0.00%,954.2,92.2,2.23
HTTP Request,908294,0,1,1,1,2,0,1021,0.00%,1164.6,112.5,2.50
HTTP Request,917526,0,1,1,1,2,0,1020,0.00%,1176.5,113.7,2.44
HTTP Request,930563,0,1,1,1,2,0,1016,0.00%,1193.2,115.3,1.99
HTTP Request,867901,0,1,1,1,3,0,1019,0.00%,1112.7,107.5,3.22
HTTP Request,942228,0,1,1,1,2,0,1030,0.00%,1208.1,116.7,2.51
HTTP Request,911157,0,1,1,1,3,0,1025,0.00%,1168.3,112.9,2.45
HTTP Request,899808,0,1,1,1,2,0,1028,0.00%,1153.7,111.5,3.07
