Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,3113014,0,0,1,1,2,0,1004,0.00%,3991.4,385.7,0.77
HTTP Request,3397279,0,0,1,1,1,0,208,0.00%,4355.9,420.9,0.47
HTTP Request,3099238,0,0,1,1,2,0,207,0.00%,3973.8,384.0,0.50
HTTP Request,3183778,0,0,1,1,1,0,208,0.00%,4082.1,394.5,0.52
HTTP Request,3350350,0,0,1,1,2,0,206,0.00%,4295.7,415.1,0.48
HTTP Request,2996182,0,0,1,1,2,0,208,0.00%,3841.7,371.2,0.79
HTTP Request,3858867,0,0,1,1,1,0,72,0.00%,4947.7,478.1,0.41
HTTP Request,2418323,0,0,1,1,3,0,1013,0.00%,3100.7,299.6,1.12
HTTP Request,3275004,0,0,1,1,2,0,1002,0.00%,4199.2,405.8,0.72
HTTP Request,3001008,0,0,1,1,2,0,207,0.00%,3847.8,371.8,0.54
HTTP Request,3219029,0,0,1,1,2,0,1023,0.00%,4127.3,398.8,0.77
HTTP Request,3190101,0,0,1,1,2,0,208,0.00%,4090.2,395.2,0.50
HTTP Request,3068809,0,0,1,1,2,0,207,0.00%,3934.7,380.2,0.60
HTTP Request,3418894,0,0,1,1,1,0,211,0.00%,4383.6,423.6,0.58
HTTP Request,3392596,0,0,1,1,2,0,209,0.00%,4349.9,420.3,0.48
HTTP Request,3832222,0,0,1,1,1,0,209,0.00%,4913.5,474.8,0.56
