Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Artifacts
HTTP Request,1162889,0,1,1,1,2,0,1011,0.00%,1491.1,144.1,1.10, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358094784/artifacts/114584671"
HTTP Request,1172824,0,1,1,1,2,0,78,0.00%,1503.8,145.3,0.60, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358094784/artifacts/114584679"
HTTP Request,1186531,0,1,1,1,2,0,32,0.00%,1521.4,147.0,0.60, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358094784/artifacts/114584680"
HTTP Request,1024661,0,1,1,2,4,0,212,0.00%,1313.8,127.0,1.20, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358094784/artifacts/114584681"
HTTP Request,1194305,0,1,1,1,2,0,209,0.00%,1531.4,148.0,0.82, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358094784/artifacts/114584682"
HTTP Request,1302750,0,1,1,1,2,0,126,0.00%,1670.4,161.4,0.63, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358094784/artifacts/114584683"
HTTP Request,1467534,0,0,1,1,2,0,207,0.00%,1881.7,181.8,0.64, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358094784/artifacts/114584672"
HTTP Request,1129578,0,1,1,1,3,0,209,0.00%,1448.4,140.0,0.75, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358094784/artifacts/114584673"
HTTP Request,1188030,0,1,1,1,2,0,37,0.00%,1523.3,147.2,0.56, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358094784/artifacts/114584674"
HTTP Request,1236302,0,1,1,1,2,0,209,0.00%,1585.3,153.2,0.74, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358094784/artifacts/114584675"
HTTP Request,1096636,0,1,2,2,3,0,332,0.00%,1406.2,135.9,1.04, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358094784/artifacts/114584676"
HTTP Request,1205317,0,1,1,1,3,0,206,0.00%,1545.5,149.3,0.68, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358094784/artifacts/114584677"
HTTP Request,1814740,0,0,1,1,2,0,550,0.00%,2326.9,224.8,0.82, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358094784/artifacts/114584678"
