Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev., Artifacts
HTTP Request,1397129,0,0,1,1,3,0,36,0.00%,1791.4,173.1,0.94,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938675"
HTTP Request,1453114,0,0,1,1,3,0,41,0.00%,1863.3,180.0,0.92,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938684"
HTTP Request,1442750,0,0,1,1,3,0,41,0.00%,1850.0,178.8,0.93,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938685"
HTTP Request,1481418,0,0,1,1,3,0,104,0.00%,1899.5,183.6,0.93,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938686"
HTTP Request,1468667,0,0,1,1,3,0,42,0.00%,1883.2,182.0,0.92,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938687"
HTTP Request,1466114,0,0,1,1,3,0,40,0.00%,1879.9,181.7,0.91,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938688"
HTTP Request,1466497,0,0,1,1,3,0,41,0.00%,1880.4,181.7,0.92,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938689"
HTTP Request,1471046,0,0,1,1,3,0,36,0.00%,1886.2,182.3,0.92,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938690"
HTTP Request,1541784,0,0,1,1,3,0,39,0.00%,1977.0,191.0,0.91,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938691"
HTTP Request,1547374,0,0,1,1,3,0,40,0.00%,1984.1,191.7,0.90,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938676"
HTTP Request,1478072,0,0,1,1,3,0,42,0.00%,1895.2,183.1,0.92,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938677"
HTTP Request,1574401,0,0,1,1,3,0,45,0.00%,2018.8,195.1,0.94,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938678"
HTTP Request,1617950,0,0,1,1,3,0,40,0.00%,2074.6,200.5,0.93,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938679"
HTTP Request,1601101,0,0,1,1,3,0,44,0.00%,2053.0,198.4,0.94,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938680"
HTTP Request,1621132,0,0,1,1,3,0,1019,0.00%,2078.6,200.9,1.22,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938681"
HTTP Request,1613334,0,0,1,1,3,0,36,0.00%,2068.7,199.9,0.93,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938682"
HTTP Request,1632886,0,0,1,1,3,0,52,0.00%,2093.8,202.3,0.93,"https://github.com/xlight05/ballerina-performance-cloud/suites/4393082864/artifacts/115938683"
