Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Artifacts
HTTP Request,1744774,0,0,1,1,2,0,29,0.00%,2237.2,216.2,0.61, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358165689/artifacts/114593615"
HTTP Request,1141075,0,1,1,1,2,0,1009,0.00%,1463.1,141.4,1.17, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358165689/artifacts/114593623"
HTTP Request,1090770,0,1,1,1,2,0,13,0.00%,1398.6,135.1,0.59, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358165689/artifacts/114593624"
HTTP Request,1262716,0,1,1,1,3,0,213,0.00%,1619.1,156.5,0.71, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358165689/artifacts/114593625"
HTTP Request,1070933,0,1,1,1,3,0,207,0.00%,1373.2,132.7,0.74, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358165689/artifacts/114593626"
HTTP Request,1161272,0,1,1,1,2,0,4797,0.00%,1489.0,143.9,5.60, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358165689/artifacts/114593627"
HTTP Request,1111560,0,1,1,1,3,0,47,0.00%,1425.3,137.7,0.63, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358165689/artifacts/114593628"
HTTP Request,1272589,0,1,1,1,2,0,212,0.00%,1631.7,157.7,0.64, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358165689/artifacts/114593616"
HTTP Request,1303704,0,1,1,1,2,0,208,0.00%,1671.7,161.5,0.61, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358165689/artifacts/114593617"
HTTP Request,1300587,0,1,1,1,2,0,242,0.00%,1667.7,161.2,0.66, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358165689/artifacts/114593618"
HTTP Request,1616109,0,0,1,1,2,0,1833,0.00%,2072.2,200.2,1.61, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358165689/artifacts/114593619"
HTTP Request,1396953,0,0,1,1,3,0,1023,0.00%,1791.2,173.1,1.41, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358165689/artifacts/114593620"
HTTP Request,1230840,0,1,1,1,3,0,33,0.00%,1578.2,152.5,0.64, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358165689/artifacts/114593621"
HTTP Request,1093741,0,1,1,1,2,0,25,0.00%,1402.4,135.5,0.61, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358165689/artifacts/114593622"
