Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Latency(usec), Bandwidth(MBps)
HTTP Request,10431543,0,0,0,1,1,0,5,0.00%,13374.9,809.8,0.25, 30.133, 1567.213
HTTP Request,10346730,0,0,0,1,1,0,21,0.00%,13266.2,803.2,0.25, 30.075, 1419.796
HTTP Request,10383828,0,0,0,1,1,0,208,0.00%,13313.8,806.1,0.26, 30.048, 1410.852
HTTP Request,10338074,0,0,0,1,1,0,22,0.00%,13255.1,802.6,0.25, 31.587, 1416.218
HTTP Request,10241175,0,0,0,1,1,0,22,0.00%,13130.8,795.0,0.25, 30.095, 1432.536
HTTP Request,7714962,0,0,0,1,1,0,46,0.00%,9891.8,598.9,0.29, 42.648, 1411.737
HTTP Request,10251585,0,0,0,1,1,0,208,0.00%,13144.2,795.8,0.27, 31.052, 1592.967
HTTP Request,7610814,0,0,0,1,1,0,207,0.00%,9758.3,590.8,0.30, 41.143, 2241.489
HTTP Request,7821977,0,0,0,1,1,0,20,0.00%,10029.0,607.2,0.29, 42.279, 2276.280
HTTP Request,10183852,0,0,0,1,1,0,4,0.00%,13057.3,790.6,0.25, 31.137, 1414.406
HTTP Request,10310883,0,0,0,1,1,0,19,0.00%,13220.3,800.4,0.25, 30.646, 1420.201
HTTP Request,10359030,0,0,0,1,1,0,205,0.00%,13282.0,804.2,0.26, 30.170, 1412.110
HTTP Request,10261726,0,0,0,1,1,0,208,0.00%,13157.2,796.6,0.26, 30.497, 1416.761
