Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Latency(usec), Bandwidth(MBps)
HTTP Request,10598694,0,0,0,1,1,0,22,0.00%,13589.2,822.8,0.25,29.962, 1416.628
HTTP Request,10684493,0,0,0,1,1,0,8,0.00%,13699.3,829.4,0.25, 29.147, 1411.739
HTTP Request,7956757,0,0,0,1,1,0,71,0.00%,10201.8,617.7,0.29, 40.338, 1720.361
HTTP Request,10461704,0,0,0,1,1,0,9,0.00%,13413.6,812.1,0.25, 29.850, 1706.663
HTTP Request,10424107,0,0,0,1,1,0,9,0.00%,13365.6,809.2,0.25, 29.410, 1411.928
HTTP Request,10408290,0,0,0,1,1,0,208,0.00%,13345.1,808.0,0.26, 31.730, 1413.329
HTTP Request,10476354,0,0,0,1,1,0,23,0.00%,13432.4,813.3,0.25, 30.123, 1419.944
HTTP Request,7865579,0,0,0,1,1,0,20,0.00%,10085.0,610.6,0.29, 39.925, 1420.024
HTTP Request,10395023,0,0,0,1,1,0,205,0.00%,13328.0,807.0,0.27, 31.822, 1411.134
HTTP Request,10436837,0,0,0,1,1,0,205,0.00%,13381.7,810.2,0.26, 29.869, 1416.704
HTTP Request,10470700,0,0,0,1,1,0,8,0.00%,13425.2,812.9,0.25, 31.074, 1622.466
HTTP Request,10441570,0,0,0,1,1,0,22,0.00%,13387.8,810.6,0.25, 30.221, 1428.281
