Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,3995,195,194,200,202,208,189,319,0.00%,5.1,.5,4.55
HTTP Request,4035,193,192,197,199,204,188,367,0.00%,5.2,.5,4.76
HTTP Request,4016,194,194,197,199,204,189,328,0.00%,5.1,.5,3.71
HTTP Request,4043,192,192,195,198,202,188,341,0.00%,5.2,.5,3.58
HTTP Request,4028,193,193,196,198,202,188,323,0.00%,5.2,.5,3.45
HTTP Request,4026,193,193,196,198,204,188,328,0.00%,5.2,.5,3.61
HTTP Request,4033,193,193,196,198,204,188,348,0.00%,5.2,.5,3.80
HTTP Request,4023,193,193,197,199,203,189,337,0.00%,5.2,.5,3.71
HTTP Request,4029,193,193,196,198,203,188,344,0.00%,5.2,.5,3.56
HTTP Request,4025,193,193,196,198,202,188,340,0.00%,5.2,.5,3.49
HTTP Request,4043,192,192,195,197,202,188,330,0.00%,5.2,.5,3.46
HTTP Request,4033,193,193,196,198,201,188,328,0.00%,5.2,.5,4.00
