Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Artifacts
HTTP Request,1180962,0,1,1,1,2,0,207,0.00%,1514.3,146.3,0.64,"https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606465"
HTTP Request,1199382,0,1,1,1,3,0,3152,0.00%,1537.9,148.6,3.37, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606474"
HTTP Request,1699382,0,0,1,1,2,0,30,0.00%,2179.0,210.6,0.57, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606475"
HTTP Request,931734,0,1,1,2,3,0,865,0.00%,1194.7,115.4,1.24, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606476"
HTTP Request,1291560,0,1,1,1,2,0,43,0.00%,1656.1,160.0,0.59, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606477"
HTTP Request,1813552,0,0,1,1,2,0,1014,0.00%,2325.4,224.7,0.99, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606478"
HTTP Request,1384640,0,1,1,1,2,0,27,0.00%,1775.4,171.6,0.64, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606479"
HTTP Request,442219,1,2,2,3,4,0,902,0.00%,567.0,54.8,1.51, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606480"
HTTP Request,2052628,0,0,1,1,2,0,10011,0.00%,2632.0,254.3,7.01, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606466"
HTTP Request,2111352,0,0,1,1,2,0,206,0.00%,2707.3,261.6,0.57, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606467"
HTTP Request,1882304,0,0,1,1,2,0,209,0.00%,2413.6,233.2,0.68, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606468"
HTTP Request,992589,0,1,1,2,3,0,211,0.00%,1272.7,123.0,0.78, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606469"
HTTP Request,1259004,0,1,1,1,3,0,516,0.00%,1614.4,156.0,0.80, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606470"
HTTP Request,1252215,0,1,1,1,2,0,7273,0.00%,1605.6,155.2,6.53, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606471"
HTTP Request,2152431,0,0,1,1,2,0,24,0.00%,2759.9,266.7,0.52, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606472"
HTTP Request,1338917,0,1,1,1,2,0,29,0.00%,1716.8,165.9,0.59, "https://github.com/xlight05/ballerina-performance-cloud/suites/4358104298/artifacts/114606473"
