Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,2933922,0,0,1,1,2,0,242,0.00%,3761.8,363.5,0.51
HTTP Request,3780226,0,0,1,1,1,0,233,0.00%,4846.9,468.4,0.49
HTTP Request,3651848,0,0,1,1,1,0,208,0.00%,4682.3,452.5,0.51
HTTP Request,3005548,0,0,1,1,2,0,208,0.00%,3853.6,372.4,0.57
HTTP Request,3194323,0,0,1,1,2,0,207,0.00%,4095.6,395.8,0.61
HTTP Request,3455517,0,0,1,1,2,0,1032,0.00%,4430.5,428.1,0.90
HTTP Request,3882964,0,0,1,1,1,0,207,0.00%,4978.6,481.1,0.43
HTTP Request,3055390,0,0,1,1,2,0,208,0.00%,3917.5,378.6,0.55
HTTP Request,3204265,0,0,1,1,2,0,208,0.00%,4108.4,397.0,0.56
HTTP Request,3172100,0,0,1,1,2,0,163,0.00%,4067.2,393.0,0.51
HTTP Request,3292611,0,0,1,1,2,0,1001,0.00%,4221.7,407.9,0.74
HTTP Request,3059048,0,0,1,1,2,0,207,0.00%,3922.2,379.0,0.57
HTTP Request,3207533,0,0,1,1,2,0,206,0.00%,4112.6,397.4,0.50
HTTP Request,3578537,0,0,1,1,1,0,207,0.00%,4588.3,443.4,0.47
HTTP Request,3252327,0,0,1,1,2,0,14,0.00%,4170.1,403.0,0.49
HTTP Request,3727440,0,0,1,1,1,0,209,0.00%,4779.2,461.8,0.49
