Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,794708,0,1,1,1,2,0,207,0.00%,1019.0,98.5,0.36
HTTP Request,473687,1,2,2,2,3,1,210,0.00%,607.4,58.7,1.32
HTTP Request,795958,0,1,1,1,2,0,15,0.00%,1020.6,98.6,0.28
HTTP Request,793890,0,1,1,1,2,0,206,0.00%,1017.9,98.4,0.36
HTTP Request,779132,0,1,1,1,2,0,209,0.00%,999.0,96.5,0.48
HTTP Request,477082,1,2,2,2,3,1,209,0.00%,611.7,59.1,0.68
HTTP Request,795675,0,1,1,1,2,0,10,0.00%,1020.2,98.6,0.28
HTTP Request,474610,1,2,2,2,3,1,209,0.00%,608.5,58.8,1.04
