Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HTTP Request,3087221,0,0,1,1,2,0,206,0.00%,3958.4,382.5,0.53
HTTP Request,3554952,0,0,1,1,1,0,209,0.00%,4558.1,440.5,0.48
HTTP Request,3374038,0,0,1,1,2,0,207,0.00%,4326.1,418.0,0.47
HTTP Request,3215702,0,0,1,1,2,0,207,0.00%,4123.1,398.4,0.53
HTTP Request,3135804,0,0,1,1,2,0,1037,0.00%,4020.6,388.5,0.78
HTTP Request,3102465,0,0,1,1,2,0,53,0.00%,3977.9,384.4,0.51
HTTP Request,2847994,0,0,1,1,2,0,1017,0.00%,3651.6,352.9,0.83
HTTP Request,3358322,0,0,1,1,2,0,205,0.00%,4305.9,416.1,0.47
HTTP Request,3365366,0,0,1,1,2,0,208,0.00%,4315.0,417.0,0.48
HTTP Request,2639011,0,0,1,1,2,0,23,0.00%,3383.7,327.0,0.50
HTTP Request,3133240,0,0,1,1,2,0,208,0.00%,4017.3,388.2,0.54
HTTP Request,3284807,0,0,1,1,2,0,50,0.00%,4211.7,407.0,0.48
HTTP Request,3561985,0,0,1,1,1,0,207,0.00%,4567.1,441.3,0.52
