Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.,Payload,Users,AVG-CPU
HTTP Request,3994352,1,1,2,2,3,1,4747,0.00%,3698.8,357.4,2.93,50,5,212
HTTP Request,11836028,0,0,1,1,2,0,3449,0.00%,10960.3,1059.1,2.06,50,5,543
HTTP Request,8961968,0,1,1,1,2,0,154,0.00%,8299.0,801.9,0.60,50,5,378
